"Data last updated by May 22, 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note: The credit issuance numbers below includes original and non-original issuances. Annual credit issuance numbers of governmental mechanisms are mostly based on self-reported numbers and may not align with self-reported cumulative numbers due to gaps in the data.,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Alberta Emission Offset System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4011000.0,4463000.0,5057000.0,4866000.0,3618000.0,8400000.0,393000.0,6400000.0,7799074.0,6922604.0
American Carbon Registry,125000.0,0.0,500.0,2880358.0,11027146.0,5847510.0,7938812.0,6245281.0,171069.0,519754.0,4115915.0,1676242.0,4287042.0,8732794.0,27095713.0,47983817.0,12048989.0,14229468.0,28693311.0,17563259.0,29322192.0,37355459.0,44657782.0
Australian Carbon Credit Unit Scheme (ACCU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,3900000.0,7600000.0,7900000.0,13100000.0,12200000.0,12400000.0,14800000.0,16100000.0,17100000.0,17700000.0,17200000.0,18784758.0
Beijing Certified Emission Reduction Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149665.0
British Columbia Offset Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768150.0,3119145.0,205507.0,2107083.0,1356296.0,1210721.0,4835135.0,1930665.0,587428.0
California Compliance Offset Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268680.0,10983823.0,19561213.0,19776011.0,32732903.0,54732348.0,26541225.0,45543188.0,17409784.0,11565096.0,13797604.0,10811900.0
Chile Green Tax Emissions Offsetting Scheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258547.0
China GHG Voluntary Emission Reduction Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,28000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongqing carbon offset mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,350000.0000000001,365198.0,0.0
