Unique ID,Instrument name,Type,Status,Jurisdiction,Region,Income group,Year,Emission_Coverage_%,Carbon_Price_USD,Revenue_Million_USD,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh - equivalent),Hydro per capita (kWh - equivalent),Wind per capita (kWh - equivalent),Solar per capita (kWh - equivalent),Other renewables per capita (kWh - equivalent),Total_Energy_per_capita,Fossil_Fuel_Dependency_%,Population,Population_Log,Annual_CO2_emissions,GDP
Tax_AL,Albania carbon tax,Carbon tax,Implemented,Albania,Europe & Central Asia,Upper middle income,1990,0.0,,,11909.408,17716.014,12505.66,3881.0312,2475.4448,2.9866703,0.047724012,81.682,48572.27439431199,86.73895246901124,3277965.0,15.002733666053963,5520602.0,12819616210.0
Tax_CA_Alberta,Alberta carbon tax,Carbon tax,Abolished,Alberta,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_Alberta,Alberta TIER,ETS,Implemented,Alberta,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
Tax_AR,Argentina carbon tax,Carbon tax,Implemented,Argentina,Latin America & Caribbean,Upper middle income,1990,0.0,,,374.47086,7039.2446,6023.9595,617.4459,1502.1188,0.0,0.0,12.690632,15569.930292000001,86.30529943287173,32755907.0,17.304593900722526,112188296.0,227955468750.0
ETS_AU1,Australia CPM,ETS,Abolished,Australia,East Asia & Pacific,High income,1990,0.0,,,25945.309,22941.58,9795.428,0.0,2393.897,0.0,0.0,138.58435,61214.79835,95.8629589278064,17126304.0,16.65612614358872,278061000.0,568726875000.0
ETS_AU2,Australia Safeguard Mechanism,ETS,Implemented,Australia,East Asia & Pacific,High income,1990,0.0,,,25945.309,22941.58,9795.428,0.0,2393.897,0.0,0.0,138.58435,61214.79835,95.8629589278064,17126304.0,16.65612614358872,278061000.0,568726875000.0
ETS_AT,Austria ETS,ETS,Implemented,Austria,Europe & Central Asia,High income,1990,0.0,,,6203.4624,16593.26,8064.8325,0.0,11397.038,0.0,0.0,464.90094,42723.49384,72.23555970299829,7679627.0,15.854081666450721,62191450.0,230188281250.0
Tax_MX_BC,Baja California carbon tax,Carbon tax,Abolished,Baja California,Latin America & Caribbean,Upper middle income,1990,0.0,,,473.81107,11064.771,3238.0417,98.50659,821.08765,0.033539873,0.033539873,193.34059,15889.625679746001,92.99541768838073,82820170.0,18.23218220079823,316745800.0,1224476625000.0
ETS_CN_Beijing,Beijing pilot ETS,ETS,Implemented,Beijing,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
Tax_CA_BC,BC carbon tax,Carbon tax,Abolished,British Columbia,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_BC,BC OBPS,ETS,Implemented,British Columbia,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_US_California,California CaT,ETS,Implemented,California,North America,High income,1990,0.0,,,21067.713,36742.098,20407.178,6657.093,3204.328,30.880726,4.065091,708.67883,88822.034647,88.06034370959078,253373387.0,19.350374800604705,5131760600.0,10977047000000.0
Tax_CA,Canada federal fuel charge,Carbon tax,Abolished,Canada,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA,Canada federal OBPS,ETS,Implemented,Canada,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
Tax_CL,Chile carbon tax,Carbon tax,Implemented,Chile,Latin America & Caribbean,High income,1990,0.0,,,2254.3044,5905.6704,1229.406,0.0,1848.401,0.0,0.0,223.95882,11461.740619999999,81.91932718854355,13437181.0,16.413536198455855,32908154.0,111262054687.0
ETS_CN,China national ETS,ETS,Implemented,China,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
