Unique ID,Instrument name,Type,Status,Jurisdiction covered,Share of jurisdiction emissions covered,Price on 1 April,2020.0_x,2021.0_x,2022.0_x,2023.0_x,2024.0_x,2025.0_x,Change,Government revenue,2019.0_x,2020.0.1,2021.0.1,2022.0.1,2023.0.1,2024.0.1,Change.1,Gases covered,Electricity and heat,Industry,Mining and extractives,Transport,Aviation,Buildings,"Agriculture, forestry and fishing fuel use",Agricultural emissions,Waste,LULUCF,Fuels covered,Allocation approaches,Price or market management,Point of Regulation,Offset eligibility,Description,Recent developments,Coverage,Pricing and allocation,Compliance,Relation to other instruments,Name of the initiative,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0_y,2020.0_y,2021.0_y,2022.0_y,2023.0_y,2024.0_y,2025.0_y,Unique ID_price,Name of the initiative_price,Instrument Type,Region,Income group,Metric,1990.0_price,1991.0_price,1992.0_price,1993.0_price,1994.0_price,1995.0_price,1996.0_price,1997.0_price,1998.0_price,1999.0_price,2000.0_price,2001.0_price,2002.0_price,2003.0_price,2004.0_price,2005.0_price,2006.0_price,2007.0_price,2008.0_price,2009.0_price,2010.0_price,2011.0_price,2012.0_price,2013.0_price,2014.0_price,2015.0_price,2016.0_price,2017.0_price,2018.0_price,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,Jurisdiction,Status_revenue,Type_revenue,Country income group,Metric_revenue,1990.0_revenue,1991.0_revenue,1992.0_revenue,1993.0_revenue,1994.0_revenue,1995.0_revenue,1996.0_revenue,1997.0_revenue,1998.0_revenue,1999.0_revenue,2000.0_revenue,2001.0_revenue,2002.0_revenue,2003.0_revenue,2004.0_revenue,2005.0_revenue,2006.0_revenue,2007.0_revenue,2008.0_revenue,2009.0_revenue,2010.0_revenue,2011.0_revenue,2012.0_revenue,2013.0_revenue,2014.0_revenue,2015.0_revenue,2016.0_revenue,2017.0_revenue,2018.0_revenue,2019.0_revenue,2020.0_revenue,2021.0_revenue,2022.0_revenue,2023.0_revenue,2024.0_revenue
Tax_AL,Albania carbon tax,Carbon tax,Implemented,Albania,"73% of jurisdiction emissions, 0.0106% of global emissions","US$14 (ALL1,255)",,,,,13.11135507,13.69190487,0.044278398,US$0 million (2024) (ALL0 million),,,,,,,,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,Albania carbon tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001286903984079,0.000129588401394,0.0001282372736122,0.0001312030387871,0.000124635730068,0.0001265720695662,0.0001327767806541,0.0001307168663046,0.0001243463803502,0.0001341200909309,0.0001309424786652,0.0001226941065919,0.0001179087734382,0.000118842748071,0.0001097349266579,0.0001057676440884,0.0001057676440884,0.0001057676440884,Tax_AL,Albania carbon tax,Carbon tax,Europe & Central Asia,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11135507,13.69190487,Albania,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tax_CA_Alberta,Alberta carbon tax,Carbon tax,Abolished,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberta carbon tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022987674736885,0.0022552854524296,0.0022524048745775,0.0,0.0,0.0,0.0,0.0,0.0,Tax_CA_Alberta,Alberta carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02629602,23.26663564,22.4938142,,,,,,,Alberta,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.4877861,1025.972053,,,,,,
ETS_CA_Alberta,Alberta TIER,ETS,Implemented,Alberta,"59% of jurisdiction emissions, 0.2852% of global emissions",US$66 (CAN$95),21.10149821,31.8344608,39.96163683,48.03073967,58.94488653,66.21131865,2.137754391,US$412 million (2024) (CAN$564 million),407.4272178,349.3542706,441.8266903,390.7341301,652.5679758,412.1429093,0.011574316,"CO2, CH4, N2O, HFCs, SF6, PFCs, Other",Yes,Yes,Yes,No,No,No,No,No,Yes,No,Diesel; Other oil products; Gasoline; Kerosene; LPG; Natural gas; Coal,"Free allocation (Intensity-based), Set price",Set price trajectory,Point Source,"Yes, unlimited","The Technology Innovation and Emissions Reduction (TIER) Regulation is a baseline-and-credit ETS. It covers large emitting facilities, with the ability for lower emitting facilities to opt in to the regulation. 
 
Covered entities must reduce their emissions intensity (emissions per unit of production) by a set percentage each year. The reduction requirement is based on a facility’s average emissions intensity over a three-year historic period or compared to a sector-specific benchmark. Covered entities that outperform their targets generate emissions performance credits (EPCs), which can be sold or used in future compliance years. Those that exceed their limits are required to provide compensation by either (1) purchasing EPCs from other covered facilities, (2) paying into the TIER fund to purchase a fund credit for each tonne of excess emissions, or (3) purchasing emission offset credits generated within Alberta under an approved offset protocol or sequestration credits. ","Alberta’s Technology Innovation and Emissions Reduction (TIER) Regulation was amended in December 2022, with changes taking effect on January 1, 2023. Updates included setting the carbon price in line with the federal benchmark; tightening output-based benchmarks by 2% annually from 2023 to 2030 and also increasing the tightening rates of the oil sands sectors by 4% in 2029 and 2030; reducing the opt-in threshold to 2,000 tonne  per year; increasing the limits on emission performance and offsets usage from 60% in 2023 by 10% annually until it reaches 90% in 2026; reducing the credit expiry to five years; establishing sequestration credits and capture recognition tonnes  to support carbon capture, utilization, and storage investments; and changing the biomass emissions treatment to support bioenergy with carbon capture and storage.
","Alberta’s TIER Regulation applies to all greenhouse gas emissions from facilities that emit 100 ktCO2-e/year or more, including industry, power, food processing, waste and other sectors. Smaller conventional oil and gas facilities can aggregate and opt-in to the regulation. Lower emitting facilities (those emitting 2,000 tonnes CO2e or more per year) can opt-in to the regulation.

Alberta’s TIER system directly covers approximately 60% of Alberta’s emissions. The ETS extends the price signal to broader sectors.",Baselines (Intensity-based),Annual,Facilities covered by the TIER Regulation are exempt from paying the Canadian federal carbon tax.,Alberta TIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035075857010199,0.0034085607596397,0.003336141593078,0.0032514493765266,0.0032772611713122,0.0033730796043927,0.003474740780639,0.0035071245902337,0.003607535357202,0.0033743310645845,0.0033934186516355,0.0033292309059675,0.0033249786243763,0.0031925258556606,0.0030778523282275,0.0030541490479243,0.0029968045537563,0.0029968045537563,0.0028517978818004,ETS_CA_Alberta,Alberta TIER,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,13.01066875,14.60564752,11.86427272,14.88833747,15.57794163,15.01351216,14.75361464,13.60297452,11.89343482,15.32919445,22.53944403,23.26663564,22.4938142,21.10149821,31.8344608,39.96163683,48.03073967,58.94488653,66.21131865,Alberta,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,44.37463185,75.95698925,62.51178578,81.82101006,61.72112648,89.40839695,88.4226302,67.58056758,104.3123991,159.1276874,71.53705954,407.4272178,349.3542706,441.8266903,390.7341301,652.5679758,412.1429093
Tax_AR,Argentina carbon tax,Carbon tax,Implemented,Argentina,"38% of jurisdiction emissions, 0.2624% of global emissions","US$5 (ARS5,716)",6.342014552,5.321599371,4.995626444,3.218257023,0.811554266,5.327914694,-0.15990185,"US$225 million (2024) (ARS203,646 million)",,,,313.929632,152.8346165,225.0505586,-0.283117821,"CO2, CH4, N2O, HFCs, SF6, PFCs",In principle,Yes,Yes,Yes,Yes,In principle,Yes,No,No,No,"Coal; Diesel; Gasoline; Kerosene; Other oil products (crude oil, etc); Jet fuel",Set price,,Upstream,Not permitted,,,,,,,Argentina carbon tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027093844328562,0.0026746472965729,0.0026755487496501,0.0027088923015776,0.0027402921357665,0.0026237173985539,0.0026237173985539,0.0026237173985539,Tax_AR,Argentina carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.914348161,6.187569488,6.342014552,5.321599371,4.995626444,3.218257023,0.811554266,5.327914694,Argentina,Implemented,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.929632,152.8346165,225.0505586
ETS_AU1,Australia CPM,ETS,Abolished,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The carbon pricing mechanism was an emissions trading system introduced by the Clean Energy Act 2011 and related legislation. Under the mechanism, liable entities had to pay a price for the carbon emissions they produced in the 2012-13 and 2013-14 financial  years. This covered approximately 60 per cent of Australia's carbon emissions including from electricity generation, stationary energy, landfills, wastewater, industrial processes and fugitive emissions. The carbon pricing mechanism was repealed, with effect from 1 July 2014.",,,,,,Australia CPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077010875530234,0.0075252340943235,0.0073578027994839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ETS_AU1,Australia CPM,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,23.9246,24.584508,22.370145,,,,,,,,,,,,Australia,Abolished,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,3327.3615,6180.2068,3267.3024,,,,,,,,,,
ETS_AU2,Australia Safeguard Mechanism,ETS,Implemented,Australia,"26% of jurisdiction emissions, 0.2807% of global emissions",US$22 (A$35),,,,,21.90375,21.81612,-0.004000685,US$ million (2024) (A$ million),,,,,,,,"CO2, CH4, N2O, SF6, HFCs, PFCs, Other",In principle,Yes,Yes,Yes,Yes,No,No,No,In principle,No,Diesel; Other oil products; Gasoline; Kerosene; LPG; Natural gas; Jet fuel; Coal,Free allocation (Intensity-based),,Point Source,"Yes, unlimited","The Safeguard Mechanism assigns mandatory emissions baselines for over 200 large facilities in Australia. Facility-level baselines are calculated using output-based benchmarking based on emissions intensity.  
 
Facilities emitting above their baseline must offset excess emissions by surrendering Safeguard Mechanism Credits (SMCs) or Australian Carbon Credit Units (ACCUs). In some cases, facilities can also apply to average their emissions over a longer period or borrow from a future year.  
 
The Safeguard Mechanism was introduced in 2016 but had not been classified as a baseline-and-credit system as no tradeable permits were issued. However, as of July 2023, the government issues SMCs to facilities that over-achieve on their baseline. This reform was accompanied by a tightening of baselines and a default decline rate of 4.9% per year, to align the outcome with Australia’s 2030 targets.
","Legislation to reform the Safeguard Mechanism was passed in March 2023, with changes entering into force from July 2023. The Safeguard Mechanism now assigns emissions baselines to over 200 large facilities, with those emitting above their baseline required to offset excess emissions. The reforms tightened emissions baselines for covered facilities and now allow the issuance of credits to facilities that overachieve on their baseline. This in effect turned the Safeguard Mechanism into a baseline-and-credit system. 
","The Safeguard Mechanism covers all direct (scope 1) GHG emissions from facilities emitting over 100kt CO2-e/year in electricity, mining, oil and gas production, manufacturing, transport and waste. Grid-connected electricity facilities are covered by one combined ‘sectoral’ baseline and it is not expected that the sectoral baseline will ever be breached. ",Baselines (Intensity-based),Annual,ACCUs issued under Australia’s Emissions Reduction Fund are eligible offsets under the Safeguard. ,Australia Safeguard Mechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028072075864483,0.0028072075864483,0.0028072075864483,ETS_AU2,Australia Safeguard Mechanism,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90375,21.81612,Australia,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS_AT,Austria ETS,ETS,Implemented,Austria,"36% of jurisdiction emissions, 0.0496% of global emissions",US$49 (€45),,,,35.34375,48.3705,48.546,0.373538462,"US$1,264 million (2024) (€1,177 million)",,,,,916.32978,1264.2567,0.379696183,Several gases (primarily CO2 for fuels not in EU ETS),In principle,No,In principle,Yes,No,Yes,Yes,No,No,No,Diesel; Other oil products; Gasoline; Kerosene; LPG; Natural gas; Coal,Set price,Fixed price,Upstream,Not permitted,"Austria launched its national emissions certificate trading system (Nationales Emissionszertifikatehandelsgesetz – NEHG) for fossil fuels not already covered by the EU ETS in October 2022.  
 
Although the NEHG does not establish a carbon tax, the carbon pricing instrument follows in central parts the logic of existing energy taxes (fuel tax, coal tax, and natural gas tax). Thus, if a certain event is taxable under the existing energy taxes regime, an obligation to buy allowances arises under the NEHG. Taxable events are the production, import, or release of energy products from a tax warehouse in Austria or the supply of coal and natural gas to consumers. In practice, only a limited number of energy distributors and oil companies are subject to the NEHG 2022.
 
The NEHG aims to cover emissions outside the EU ETS, encompassing predominantly emissions in the buildings and transport sectors. Between 2022 and 2025, the system will operate with an annually increasing fixed price and a flexible cap, such that more allowances will be available for entities if needed. The NEHG is being phased in gradually. The system has been designed in line with the reduction targets for non-EU ETS sectors as defined by the “European Effort Sharing Regulation” (ESR). The system may eventually transfer into the EU ETS 2. ","Austria is preparing for its NEHG to replace its national ETS with the EU ETS 2. Austria's request to ""opt-in"" sectors not covered in the European system was approved in December 2024. The Austria ETS will therefore conclude in December 2026","The Austria ETS applies to fossil fuels used in the transport, buildings, agriculture, and energy sectors, as well as from small industries. This essentially concerns the following fossil energy sources: petrol, gasoil (diesel), heating oil, natural gas, liquefied gas, coal, and kerosene. Fuels in admixture with biogenic fuels receive a lower emissions factor than purely fossil fuels. ENtities that would be liable for less than 1 tonne of CO2e per year are excluded. In practice it covers mostly buildings and road transport.",Set price,Annual,Facilities covered by the EU ETS are exempt from the Austria ETS.,Austria ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000584768190455,0.0005548650373921,0.0005548650373921,0.000495661075586,ETS_AT,Austria ETS,ETS,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.34375,48.3705,48.546,Austria,Implemented,ETS,High income,US$ millions,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.32978,1264.2567
Tax_MX_BC,Baja California carbon tax,Carbon tax,Abolished,Baja California,,,,8.31702544,,,,,,,,,1.202437515,,,,,,,,,,,,,,,,,,,,,,,,,,,Baja California carbon tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001637674519269,0.0001631406359993,0.0,0.0,0.0,0.0,Tax_MX_BC,Baja California carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31702544,,,,,Baja California,Abolished,Carbon tax,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.202437515,,,
ETS_CN_Beijing,Beijing pilot ETS,ETS,Implemented,Beijing,"17% of jurisdiction emissions, 0.0472% of global emissions",US$12 (RMB88),12.2042201,4.323279666,6.527961251,12.95770547,14.51218332,12.1526058,-0.004229217,US$1 million (2024) (RMB8 million),,,,,,1.140796655,,CO2,In principle,Yes,Yes,Yes,No,Yes,No,No,No,No,Diesel; Other oil products; Gasoline; Kerosene; LPG; Natural gas; Coal,"Free allocation (Grandfathering), Free allocation (Intensity-based)",Price corridor,Point Source,"Yes, with quantitative limit",The Beijing pilot ETS is a cap-and-trade system. The total amount of emission allowances is determined top-down. Covered entities must surrender allowances for all their covered emissions.,"In March 2024, the People’s Government of Beijing Municipality updated the “Measures for the Management of Emissions Trading in Beijing”. The previous “Interim Measures for the Management of Emissions Trading in Beijing” issued in 2014 was replaced by the new management measures in May 2024. The new management measures clarify the management responsibilities of the Beijing Municipal Ecology and Environment Bureau (short for BEE) and relevant departments in the Beijing pilot ETS, as well as the policy framework.

In May, BEE, which manages Beijing ETS, released a notice on the “Management of Key Carbon Emission Units and the Work of Carbon Emissions Trading in 2024”, which included several documents on MRV, allowance allocation, and offset credits.  In this document, BEE sets the compliance deadline for 2023 emissions to November 15, 2024. 

In September, BEE released a notice on the “Measures for the Administration of offset use in Beijing”, which introduced new rules for offset credits use ","The ETS covers  around 45% of the city’s total emissions, including those from: heat, cement, petrochemicals, and other industrial enterprises; manufacturers; the service sector; and public transport. The coverage threshold is 5,000 tCO2 per year, considering both direct and indirect emissions.","Free allocation (Grandfathering), Free allocation (Intensity-based), Auctioning",Annual,The Beijing Pilot ETS is not linked with any other system.  Coverage of power sector emissions was transferred to the Chinese national ETS. ,Beijing pilot ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006753151783824,0.00068830551589,0.0006466685310206,0.0005781833947979,0.0005316433987389,0.0005236891222349,0.0005211921579608,0.0010136289864302,0.0006787098758062,0.0008466643026,0.0008737504568792,0.0004716384968307,0.0004716384968307,ETS_CN_Beijing,Beijing pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.516657724,8.21206498,6.296021286,7.396604266,9.449596838,10.4022646,12.2042201,4.323279666,6.527961251,12.95770547,14.51218332,12.1526058,Beijing,Implemented,ETS,Upper middle income,US$ millions,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.140796655
Tax_CA_BC,BC carbon tax,Carbon tax,Abolished,British Columbia,,,28.13533094,35.8137684,39.96163683,48.03073967,58.94488653,,1.09504863,,1243.982578,1167.082477,2314.829756,1706.115164,2001.510574,1888.105502,0.517790952,,,,,,,,,,,,,,,,,,,,,,,BC carbon tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011113965000334,0.0010605662732246,0.0010025162225009,0.0009910897217911,0.0010211307983521,0.0009918648066277,0.0009690508704213,0.0009834262672972,0.0009947285003728,0.0009944083960836,0.0010033942923565,0.0009828675816338,0.0009568657631901,0.0009152887468015,0.0009082398882436,0.0008911868380626,0.0008911868380626,0.0,Tax_CA_BC,BC carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,9.737098345,7.909515147,19.85111663,25.96323606,30.02702432,29.50722927,27.20594903,23.78686965,22.99379168,22.53944403,27.14440825,29.99175227,28.13533094,35.8137684,39.96163683,48.03073967,58.94488653,,British Columbia,Abolished,Carbon tax,High income,US$ millions,,,,,,,,,,,,,,,,,,,179.6583546,454.1935484,651.5180087,937.4675931,1058.777353,1141.221374,1127.763207,955.5876223,923.2070105,956.3073129,1069.828372,1243.982578,1167.082477,2314.829756,1706.115164,2001.510574,1888.105502
